Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
935202,1025MFL2019,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07779,Finance (including NBFCs),Debentures and Bonds
935206,1075MFL17,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07795,Finance (including NBFCs),Debentures and Bonds
935208,105MFL19A,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07803,Finance (including NBFCs),Debentures and Bonds
935214,0MFL2017A,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07837,Finance (including NBFCs),Debentures and Bonds
935216,0MFL2019A,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07845,Finance (including NBFCs),Debentures and Bonds
935217,0MFL2021,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G08264,Finance (including NBFCs),Debentures and Bonds
935228,115MFL17E,Manappuram Finance Ltd,Active,F ,1000,INE522D07867,Finance (including NBFCs),Debentures and Bonds
935230,1175MFL17F,Manappuram Finance Ltd,Active,F ,1000,INE522D07875,Finance (including NBFCs),Debentures and Bonds
935232,0MFL2017G,Manappuram Finance Ltd,Active,F ,1000,INE522D07818,Finance (including NBFCs),Debentures and Bonds
935234,1125MFL19H,Manappuram Finance Ltd,Active,F ,1000,INE522D07883,Finance (including NBFCs),Debentures and Bonds
935236,115MFL19I,Manappuram Finance Ltd,Active,F ,1000,INE522D07891,Finance (including NBFCs),Debentures and Bonds
935238,0MFL19JX,Manappuram Finance Ltd,Active,F ,1000,INE522D07826,Finance (including NBFCs),Debentures and Bonds
935240,0MFL2021K,Manappuram Finance Ltd,Active,F ,1000,INE522D07834,Finance (including NBFCs),Debentures and Bonds
935246,115MFL17C,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K07212,Finance (including NBFCs),Debentures and Bonds
935248,12MFL20D,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K08087,Finance (including NBFCs),Debentures and Bonds
935252,1175MFL17VI,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K07238,Finance (including NBFCs),Debentures and Bonds
935254,115MFL19G,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K07246,Finance (including NBFCs),Debentures and Bonds
935260,1175MFL17J,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K07279,Finance (including NBFCs),Debentures and Bonds
935262,1225MFL20K,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K08095,Finance (including NBFCs),Debentures and Bonds
